,Code,First_name,Last_name,Team,Nation,Position,Rating
172,ryanbo01,Bobby,Ryan,OTT,US,LW,0.8283605439018018
173,schulni01,Nick,Schultz,PHI,CA,D,0.7476252897738647
174,scudero01,Rob,Scuderi,TOT,US,D,0.7181813997613676
175,seabrbr01,Brent,Seabrook,CHI,CA,D,0.8271710717794483
176,sedinda01,Daniel,Sedin,VAN,SE,LW,0.8231809337899496
177,sedinhe01,Henrik,Sedin,VAN,SE,C,0.8155144971705023
178,seidede01,Dennis,Seidenberg,NYI,DE,D,0.7597806717330888
179,sekeran01,Andrej,Sekera,EDM,CS,D,0.7788903145218038
180,seminal01,Alexander,Semin,MTL,RU,LW,0.7439631787225481
181,sestito01,Tom,Sestito,PIT,US,LW,0.6592568743762292
182,setogde01,Devin,Setoguchi,LAK,CA,RW,0.7665375916256025
183,sharppa01,Patrick,Sharp,CHI,CA,LW,0.7843879595748794
184,skillja01,Jack,Skille,VAN,US,RW,0.7116195809040707
185,smidla01,Ladislav,Smid,CGY,CS,D,0.6650600121082304
186,sobotvl01,Vladimir,Sobotka,STL,CS,C,0.8002517834584613
187,spezzja01,Jason,Spezza,DAL,CA,C,0.8128611487307209
188,staaler01,Eric,Staal,MIN,CA,C,0.8897736654057278
189,staaljo01,Jordan,Staal,CAR,CA,C,0.8914729697490869
190,staalma01,Marc,Staal,NYR,CA,D,0.7429958280316689
191,staffdr01,Drew,Stafford,NJD,US,RW,0.7649269900270751
192,stajama01,Matt,Stajan,CGY,CA,C,0.7622900246308578
193,stastpa01,Paul,Stastny,TOT,CA,C,0.8739576397124016
194,steenal01,Alex,Steen,STL,SE,C,0.8645716222542839
195,stemple01,Lee,Stempniak,CAR,US,RW,0.7904881716217974
196,stollja01,Jarret,Stoll,TOT,CA,C,0.7114273220590424
197,stralan01,Anton,Stralman,TBL,SE,D,0.8085806865618349
198,streima01,Mark,Streit,TOT,CH,D,0.8031161034087333
199,stuarma01,Mark,Stuart,WPG,US,D,0.7087537248776107
200,suterry01,Ryan,Suter,MIN,US,D,0.8907608820970608
201,talboma01,Maxime,Talbot,BOS,CA,C,0.7190485330981223
202,tangual01,Alex,Tanguay,TOT,CA,LW,0.798032582388703
203,thorbch01,Chris,Thorburn,STL,CA,RW,0.6967529888729822
204,thornjo01,Joe,Thornton,SJS,CA,C,0.8852516510805809
205,thornsh01,Shawn,Thornton,FLA,CA,RW,0.6479523879886944
206,tlustji01,Jiri,Tlusty,NJD,CS,C,0.7268041207679955
207,toewsjo01,Jonathan,Toews,CHI,CA,C,0.8888940542596724
208,tootojo01,Jordin,Tootoo,CHI,CA,RW,0.6909185897633965
209,turriky01,Kyle,Turris,TOT,CA,C,0.8476748348277774
210,tyutife01,Fedor,Tyutin,COL,RU,D,0.7404487801061075
211,umberrj01,R.J.,Umberger,PHI,US,C,0.7360829816323811
212,upshasc01,Scottie,Upshall,STL,CA,LW,0.7750143627164215
213,vanekth01,Thomas,Vanek,TOT,AT,LW,0.8233201178639911
214,vermean01,Antoine,Vermette,ANA,CA,C,0.7843106582169102
215,verstkr01,Kris,Versteeg,CGY,CA,RW,0.7751539871885713
216,vlasima01,Marc-Edouard,Vlasic,SJS,CA,D,0.8485333706104836
217,vrbatra01,Radim,Vrbata,FLA,CS,RW,0.7837150988173086
218,webermi01,Mike,Weber,TOT,US,D,0.7393262477538425
219,webersh01,Shea,Weber,MTL,CA,D,0.8965504679946565
220,widemde01,Dennis,Wideman,CGY,CA,D,0.7858342707929654
221,williju01,Justin,Williams,CAR,CA,RW,0.8552189990045515
222,winnida01,Daniel,Winnik,MIN,CA,C,0.757509068174733
223,yandlke01,Keith,Yandle,FLA,US,D,0.8523900817787707
224,zajactr01,Travis,Zajac,NJD,CA,C,0.837543699381645
225,zettehe01,Henrik,Zetterberg,DET,SE,LW,0.8706159797732316
226,zidlima01,Marek,Zidlicky,NYI,CS,D,0.754929528444115
227,zubruda01,Dainius,Zubrus,SJS,RU,RW,0.7273179893974471
228,alzneka01,Karl,Alzner,MTL,CA,D,0.7767873667050528
229,anisiar01,Artem,Anisimov,CHI,RU,C,0.8080339343561733
230,backlmi01,Mikael,Backlund,CGY,SE,C,0.8643433617811049
231,bailejo01,Josh,Bailey,NYI,CA,C,0.854856379834338
232,beaglja01,Jay,Beagle,WSH,CA,RW,0.7798125606070101
233,belesma01,Matt,Beleskey,TOT,CA,LW,0.7009728665272082
234,berglpa01,Patrik,Berglund,STL,SE,C,0.8268203285434458
235,boedkmi01,Mikkel,Boedker,SJS,DK,RW,0.8074171031626105
236,bogosza01,Zach,Bogosian,BUF,US,D,0.752589936817741
237,chornta01,Taylor,Chorney,TOT,CA,D,0.7137721339139294
238,dorsede01,Derek,Dorsett,VAN,CA,RW,0.7915364249147125
239,doughdr01,Drew,Doughty,LAK,CA,D,0.9033526754332077
240,frolimi01,Michael,Frolik,CGY,CS,LW,0.8306232314495465
241,garrija01,Jason,Garrison,TBL,CA,D,0.7424381145596319
242,gerbena01,Nathan,Gerbe,CAR,US,C,0.6950252561846658
243,giordma01,Mark,Giordano,CGY,CA,D,0.8764617120367388
244,halisma01,Matt,Halischuk,WPG,CA,RW,0.6892179733835475
245,hendrma01,Matt,Hendricks,WPG,US,C,0.7561391831900002
246,hornqpa01,Patric,Hornqvist,PIT,SE,RW,0.8818199631362097
247,korpila01,Lauri,Korpikoski,TOT,FI,LW,0.7466421492009407
248,kulemni01,Nikolai,Kulemin,NYI,RU,LW,0.7588785095206805
249,lewistr01,Trevor,Lewis,LAK,US,C,0.8013207574848051
250,lovejbe01,Ben,Lovejoy,NJD,US,D,0.76921992130248
251,macdoan01,Andrew,MacDonald,PHI,CA,D,0.7991059221847913
252,mcginja01,Jamie,McGinn,FLA,CA,LW,0.766289959007652
253,mitchjo01,John,Mitchell,COL,CA,C,0.7173587615963422
254,nealja01,James,Neal,VEG,CA,LW,0.8512800089176172
255,oreilca01,Cal,O'Reilly,BUF,CA,C,0.6557872676277949
256,oshietj01,T.J.,Oshie,WSH,US,C,0.8775722263107109
257,pacioma01,Max,Pacioretty,MTL,US,LW,0.8730590968437755
258,pardyad01,Adam,Pardy,TOT,CA,D,0.7325934891161107
259,pietral01,Alex,Pietrangelo,STL,CA,D,0.8931749626392421
260,portech01,Chris,Porter,MIN,CA,C,0.6944042989278103
261,porteke01,Kevin,Porter,PIT,US,C,0.7353198975969264
262,prustbr01,Brandon,Prust,VAN,CA,LW,0.7104063384010153
263,santomi01,Mike,Santorelli,ANA,CA,C,0.7144062686673781
264,sbisalu01,Luca,Sbisa,VEG,IT,D,0.79889986587261
265,schenlu01,Luke,Schenn,ARI,CA,D,0.756328287329529
266,schleda01,David,Schlemko,MTL,CA,D,0.7646885465601191
267,scottjo01,John,Scott,TOT,CA,LW,0.6932373304087559
268,simmowa01,Wayne,Simmonds,PHI,CA,RW,0.8695348125273943
269,smithza01,Zack,Smith,OTT,CA,C,0.7953158531543083
270,stamkst01,Steven,Stamkos,TBL,CA,C,0.9198495220220446
271,stewach02,Chris,Stewart,TOT,CA,RW,0.7281762774305188
272,suttebr03,Brandon,Sutter,VAN,US,C,0.8173401195399564
