,Code,First_name,Last_name,Team,Nation,Position,Rating
187,spezzja01,Jason,Spezza,DAL,CA,C,0.8094070484912801
188,staaler01,Eric,Staal,MIN,CA,C,0.8880869297959875
189,staaljo01,Jordan,Staal,CAR,CA,C,0.8889607811692565
190,staalma01,Marc,Staal,NYR,CA,D,0.7303624088758734
191,staffdr01,Drew,Stafford,NJD,US,RW,0.7559459181169907
192,stajama01,Matt,Stajan,CGY,CA,C,0.7522780818360791
193,stastpa01,Paul,Stastny,TOT,CA,C,0.8718976399844781
194,steenal01,Alex,Steen,STL,SE,C,0.8596652461614033
195,stemple01,Lee,Stempniak,CAR,US,RW,0.783690715674392
196,stollja01,Jarret,Stoll,TOT,CA,C,0.6867529217810713
197,stralan01,Anton,Stralman,TBL,SE,D,0.8027526067768205
198,streima01,Mark,Streit,TOT,CH,D,0.7972975123004369
199,stuarma01,Mark,Stuart,WPG,US,D,0.6933117684913879
200,suterry01,Ryan,Suter,MIN,US,D,0.8890780169791879
201,talboma01,Maxime,Talbot,BOS,CA,C,0.7023052784908477
202,tangual01,Alex,Tanguay,TOT,CA,LW,0.7933071337653745
203,thorbch01,Chris,Thorburn,STL,CA,RW,0.680709620743939
204,thornjo01,Joe,Thornton,SJS,CA,C,0.8854383592601113
205,thornsh01,Shawn,Thornton,FLA,CA,RW,0.6325837192664729
206,tlustji01,Jiri,Tlusty,NJD,CS,C,0.722996239923671
207,toewsjo01,Jonathan,Toews,CHI,CA,C,0.8872834825340357
208,tootojo01,Jordin,Tootoo,CHI,CA,RW,0.6799094434963595
209,turriky01,Kyle,Turris,TOT,CA,C,0.8448338102953337
210,tyutife01,Fedor,Tyutin,COL,RU,D,0.7336388113578405
211,umberrj01,R.J.,Umberger,PHI,US,C,0.7230872407701545
212,upshasc01,Scottie,Upshall,STL,CA,LW,0.7616858947347417
213,vanekth01,Thomas,Vanek,TOT,AT,LW,0.8181647409173565
214,vermean01,Antoine,Vermette,ANA,CA,C,0.7743290142891469
215,verstkr01,Kris,Versteeg,CGY,CA,RW,0.7662645844650197
216,vlasima01,Marc-Edouard,Vlasic,SJS,CA,D,0.8395364978713205
217,vrbatra01,Radim,Vrbata,FLA,CS,RW,0.7740978962144069
218,webermi01,Mike,Weber,TOT,US,D,0.7334322030231983
219,webersh01,Shea,Weber,MTL,CA,D,0.893719796762949
220,widemde01,Dennis,Wideman,CGY,CA,D,0.7783228266742409
221,williju01,Justin,Williams,CAR,CA,RW,0.8521632350077681
222,winnida01,Daniel,Winnik,MIN,CA,C,0.7490390371903678
223,yandlke01,Keith,Yandle,FLA,US,D,0.8467361729943926
224,zajactr01,Travis,Zajac,NJD,CA,C,0.8314625784823271
225,zettehe01,Henrik,Zetterberg,DET,SE,LW,0.8677055909038437
226,zidlima01,Marek,Zidlicky,NYI,CS,D,0.7498278477334122
227,zubruda01,Dainius,Zubrus,SJS,RU,RW,0.7183044871354487
228,alzneka01,Karl,Alzner,MTL,CA,D,0.7645377175959155
229,anisiar01,Artem,Anisimov,CHI,RU,C,0.7994602300623037
230,backlmi01,Mikael,Backlund,CGY,SE,C,0.8630849911247107
231,bailejo01,Josh,Bailey,NYI,CA,C,0.8506211015636022
232,beaglja01,Jay,Beagle,WSH,CA,RW,0.7607605904099617
233,belesma01,Matt,Beleskey,TOT,CA,LW,0.6929063432902312
234,berglpa01,Patrik,Berglund,STL,SE,C,0.8219929660812207
235,boedkmi01,Mikkel,Boedker,SJS,DK,RW,0.7971936087002386
236,bogosza01,Zach,Bogosian,BUF,US,D,0.7458130153271516
237,chornta01,Taylor,Chorney,TOT,CA,D,0.7024333456270204
238,dorsede01,Derek,Dorsett,VAN,CA,RW,0.786485684816532
239,doughdr01,Drew,Doughty,LAK,CA,D,0.9023017500041662
240,frolimi01,Michael,Frolik,CGY,CS,LW,0.8306110850297297
241,garrija01,Jason,Garrison,TBL,CA,D,0.7298368678682348
242,gerbena01,Nathan,Gerbe,CAR,US,C,0.6841491467434835
243,giordma01,Mark,Giordano,CGY,CA,D,0.8764226171020673
244,halisma01,Matt,Halischuk,WPG,CA,RW,0.6734231108824399
245,hendrma01,Matt,Hendricks,WPG,US,C,0.743729349793528
246,hornqpa01,Patric,Hornqvist,PIT,SE,RW,0.8803222106866226
247,korpila01,Lauri,Korpikoski,TOT,FI,LW,0.7324070626721518
248,kulemni01,Nikolai,Kulemin,NYI,RU,LW,0.7511099544125255
249,lewistr01,Trevor,Lewis,LAK,US,C,0.7947373558052053
250,lovejbe01,Ben,Lovejoy,NJD,US,D,0.7606217047481958
251,macdoan01,Andrew,MacDonald,PHI,CA,D,0.7864255268385045
252,mcginja01,Jamie,McGinn,FLA,CA,LW,0.7572351187260244
253,mitchjo01,John,Mitchell,COL,CA,C,0.7116282480762262
254,nealja01,James,Neal,VEG,CA,LW,0.8473760608657875
255,oreilca01,Cal,O'Reilly,BUF,CA,C,0.6412028304368265
256,oshietj01,T.J.,Oshie,WSH,US,C,0.8733512241254824
257,pacioma01,Max,Pacioretty,MTL,US,LW,0.8721365568341077
258,pardyad01,Adam,Pardy,TOT,CA,D,0.7234939022297493
259,pietral01,Alex,Pietrangelo,STL,CA,D,0.8893329816313063
260,portech01,Chris,Porter,MIN,CA,C,0.6820857373318572
